Accuracy,FileName,Model,class,f1_score,precision,recall,support,time,Normalize,Sampling
0.97,Not-Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.98,2286.0,0.05,0,down
0.97,Not-Normalized_down_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.94,0.94,0.94,714.0,0.05,0,down
0.5593333333333333,Not-Normalized_down_GaussianNB.sav,GaussianNB,0,0.61,0.93,0.46,2286.0,0.02,0,down
0.5593333333333333,Not-Normalized_down_GaussianNB.sav,GaussianNB,1,0.49,0.34,0.89,714.0,0.02,0,down
0.954,Not-Normalized_down_MLPClassifier.sav,MLPClassifier,0,0.97,0.97,0.97,2286.0,52.14,0,down
0.954,Not-Normalized_down_MLPClassifier.sav,MLPClassifier,1,0.9,0.89,0.92,714.0,52.14,0,down
0.988,Not-Normalized_SMOTE_RandomForest.sav,RandomForest,0,0.99,0.99,0.99,2286.0,10.64,0,SMOTE
0.988,Not-Normalized_SMOTE_RandomForest.sav,RandomForest,1,0.97,0.98,0.97,714.0,10.64,0,SMOTE
0.7613333333333333,Not-Normalized_SMOTE_LogisticRegression.sav,LogisticRegression,0,0.83,0.91,0.76,2286.0,0.66,0,SMOTE
0.7613333333333333,Not-Normalized_SMOTE_LogisticRegression.sav,LogisticRegression,1,0.6,0.5,0.77,714.0,0.66,0,SMOTE
0.9696666666666667,Not-Normalized_SMOTE_DecisionTreeClassifier.sav,DecisionTreeClassifier,0,0.98,0.98,0.98,2286.0,0.05,0,SMOTE
0.9696666666666667,Not-Normalized_SMOTE_DecisionTreeClassifier.sav,DecisionTreeClassifier,1,0.94,0.94,0.93,714.0,0.05,0,SMOTE
0.5113333333333333,Not-Normalized_SMOTE_GaussianNB.sav,GaussianNB,0,0.56,0.89,0.41,2286.0,0.02,0,SMOTE
0.5113333333333333,Not-Normalized_SMOTE_GaussianNB.sav,GaussianNB,1,0.45,0.31,0.83,714.0,0.02,0,SMOTE
0.9356666666666666,Not-Normalized_SMOTE_MLPClassifier.sav,MLPClassifier,0,0.96,0.97,0.94,2286.0,46.35,0,SMOTE
0.9356666666666666,Not-Normalized_SMOTE_MLPClassifier.sav,MLPClassifier,1,0.87,0.83,0.91,714.0,46.35,0,SMOTE
